date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:53	9648/9648	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Dec%202022%2006:14:46%20GMT	https://m.media-amazon.com/images/S/aplus-media-library-service-media/36134f6c-64cc-4623-a462-2d555183c8b9.__CR0,0,1182,1182_PT0_SX300_V1___.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/m.media-amazon.com/images/S/aplus-media-library-service-media/36134f6c-64cc-4623-a462-2d555183c8b9.__CR0,0,1182,1182_PT0_SX300_V1___.jpg	(from https://indiandryfruit.shop/single-products/138)
17:51:56	12285/12285	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Dec%202022%2006:42:53%20GMT	https://m.media-amazon.com/images/S/aplus-media-library-service-media/01879c47-54b5-48fc-9ab6-9e9bc0d25227.__CR0,0,1182,1182_PT0_SX300_V1___.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/m.media-amazon.com/images/S/aplus-media-library-service-media/01879c47-54b5-48fc-9ab6-9e9bc0d25227.__CR0,0,1182,1182_PT0_SX300_V1___.jpg	(from https://indiandryfruit.shop/single-products/138)
17:51:58	65403/65403	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2005:47:21%20GMT	https://m.media-amazon.com/images/S/aplus-media-library-service-media/73b596bd-4cbf-4207-805f-1a717bd48876.__CR0,0,2953,1827_PT0_SX970_V1___.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/m.media-amazon.com/images/S/aplus-media-library-service-media/73b596bd-4cbf-4207-805f-1a717bd48876.__CR0,0,2953,1827_PT0_SX970_V1___.jpg	(from https://indiandryfruit.shop/single-products/138)
17:52:23	133397/133397	---M--	200	added ('OK')	image/jpeg	etag:%2220915-65280d88-965db4f25e43b386;;;%22	https://indiandryfruit.shop/upload/product/9530230918193244.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/9530230918193244.jpg	(from https://indiandryfruit.shop/single-products/137)
17:52:24	116929/116929	---M--	200	added ('OK')	image/jpeg	etag:%221c8c1-65280d88-ddade7ff3ca4ae98;;;%22	https://indiandryfruit.shop/upload/product/126230918193244.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/126230918193244.jpg	(from https://indiandryfruit.shop/single-products/137)
17:52:30	88691/88691	---M--	200	added ('OK')	image/jpeg	etag:%2215a73-65280d88-199392b1df8e427;;;%22	https://indiandryfruit.shop/upload/innovative/465616935.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/innovative/465616935.jpg	(from https://indiandryfruit.shop/single-products/137)
17:52:31	199292/199292	---M--	200	added ('OK')	image/jpeg	etag:%2230a7c-65280d88-1298c4750ebca13b;;;%22	https://indiandryfruit.shop/upload/product/1724230918192859.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/1724230918192859.jpg	(from https://indiandryfruit.shop/single-products/136)
17:52:35	151740/151740	---M--	200	added ('OK')	image/jpeg	etag:%22250bc-65280d88-caf856217f7b669c;;;%22	https://indiandryfruit.shop/upload/product/2287230918192859.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/2287230918192859.jpg	(from https://indiandryfruit.shop/single-products/136)
17:52:35	178576/178576	---M--	200	added ('OK')	image/jpeg	etag:%222b990-65280d88-c29ca97538368436;;;%22	https://indiandryfruit.shop/upload/product/5665230918192859.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/5665230918192859.jpg	(from https://indiandryfruit.shop/single-products/136)
17:52:38	58755/58755	---M--	200	added ('OK')	image/jpeg	etag:%22e583-65280d88-1bc5796e31ee096a;;;%22	https://indiandryfruit.shop/upload/innovative/251726828.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/innovative/251726828.jpg	(from https://indiandryfruit.shop/single-products/136)
17:52:39	57084/57084	---M--	200	added ('OK')	image/jpeg	etag:%22defc-65280d88-f595e6cf6e8eddd0;;;%22	https://indiandryfruit.shop/upload/innovative/839937738.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/innovative/839937738.jpg	(from https://indiandryfruit.shop/single-products/136)
17:52:43	184867/184867	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202023%2010:48:48%20GMT	https://m.media-amazon.com/images/S/aplus-media-library-service-media/0cffa4bd-f150-4908-a67a-180f165f8e4a.__CR0,0,1464,600_PT0_SX1464_V1___.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/m.media-amazon.com/images/S/aplus-media-library-service-media/0cffa4bd-f150-4908-a67a-180f165f8e4a.__CR0,0,1464,600_PT0_SX1464_V1___.jpg	(from https://indiandryfruit.shop/single-products/136)
17:52:47	161730/161730	---M--	200	added ('OK')	image/jpeg	etag:%22277c2-65280d88-9c6c1e33890816dc;;;%22	https://indiandryfruit.shop/upload/product/2198230918192535.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/2198230918192535.jpg	(from https://indiandryfruit.shop/single-products/135)
17:52:49	125594/125594	---M--	200	added ('OK')	image/jpeg	etag:%221ea9a-65280d88-eb85c29438527aa0;;;%22	https://indiandryfruit.shop/upload/product/5850230918192535.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/5850230918192535.jpg	(from https://indiandryfruit.shop/single-products/135)
